case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,latitude,longitude
1563126,AT&T,AT & T,225 W. Randolph,Chicago,IL,60606,0,41.8868,-87.6386
1442770,Los Arcos Restaurant / Taqueria Uptown,"Taqueria La Villita, Inc.",5525 N. Clark,Chicago,IL,60640,14,41.9719,-87.6624
1765157,Cook County,Cook County Sherrifs,2750 S. California,Chicago,IL,60608,2,41.8515,-87.6694
1443535,Timo a.k.a.: Thyme,"Danilo's Inc, LLC",464 N. Halsted,Chicago,IL,60622,11,41.9103984,-87.6482753
1666487,Jim's Original,JJ's Top Dog,16 east 95th Street,Chicago,IL,60619,0,41.7220485,-87.6033004
1429567,Bally's Total Fitness,Bally Total Fitness Corporation,8700 W. Bryn Mawr,Chicago,IL,60631,3245,41.9951,-87.8082
1445185,Dearborn Wholesale Grocers,Dearborn Wholesale Grocers,2801 South Western Avenue,Chicago,IL,60608,1,41.840401,-87.6835193
1445186,Dearborn Wholesale Grocers,"Dearborn Wholesale Grocers, Inc.",2801 Western Avenue,Chicago,IL,60608,1,41.4949363,-87.674213
1430028,The Dental Clinic,"The Dental Clinic, LLC",430 W. Erie St.,Chicago,IL,60610,90,41.8941593,-87.6397136
1691987,Office of The Chapter 13 Trustee,Office of the Chapter 13 Trustee,224 S. Michigan Avenue #800,Chicago,IL,60604,0,41.8785,-87.633
1666327,Chicago Transit Authority,Chicago Transit Authority,642 N. Pulaski Rd,Chicago,IL,60624,0,41.8926969,-87.7307045
1434083,"S.A. Industries, Inc.","S.A. Industries, Inc.",Unknown,Chicago,IL,60604,14,41.7301577,-87.6432439
1459087,Visteon Corp,Visteon Corporation,12429 S. Burley,Chicago,IL,60633,2,41.6642,-87.5612
1450667,Rose Packing Company,Rose Packing Company,4900 S. Major,Chicago,IL,60638,0,41.7814,-87.7705
1693823,Hyatt,Hyatt Corporation,71 S. Wacker Dr.,Chicago,IL,60606,1,41.8811007,-87.6360332
1334949,"Venter & Associates, Inc.","Venter & Associates, Inc.","4747 W. Peterson Avenue, #401",Chicago,IL,60646,3,41.9901719,-87.7827556
1454667,Subway,Hemali Enterprises Inc.,4316 S. Ashland,Chicago,IL,60611,3,41.8971,-87.6223
1324021,"River North, LLC D/B/A Sushi Sambo Rio","River North, LLC",504 North Wells,Chicago,IL,60610,48,41.9033,-87.6336
1551889,Bull and Bear,Trifectra LLC.,431 N. Wells,Chicago,IL,60654,170,41.8923,-87.6373
1464921,La Internacional,"International Supermarket, Inc.",4556 S. Ashland,Chicago,IL,60609,15,41.8097,-87.6533
1609654,La Farine Bakery,"Lafarine Bakery, Inc.",1461 w Chicago ave,Chicago,IL,60642,9,41.8958285,-87.6647486
1462406,Custom Staffing,"Custom Staffing, Inc.",2451 North Pulaski,Chicago,IL,60639,0,41.9202,-87.7535
1462437,Metra,Northeast Illinois Railroad Corporation,547 W. Jackson Blvd.,Chicago,IL,60661,0,41.8777544,-87.6414721
1459933,Riva Navy Pier,Pier 1995 Limited Partnership,700 E. Grand Ave.,Chicago,IL,60611,10,41.891992,-87.6141243
1459942,People's Energy Services,"People's Energy Services, Corp.",130 E. Randolph 21st Fl.,Chicago,IL,60601,0,41.8858,-87.6181
1696031,La Pasadita 2,"La Pasadita, Inc",1132 N Ashland,Chicago,IL,60622,3,41.9019,-87.6779
1442775,Captain's Hard Times Dining,"Ben-Vic, Inc. dba Captain's Hard Times Dining",436 E 79th St,Chicago,IL,60619,5,41.7513676,-87.6133708
1442782,Women's Health Consultants S.C.,Women's Health Consultants,"1725 W. Harrison, Ste. 408E",Chicago,IL,60612,18,41.8805,-87.6873
1486532,Cromex Construction Corporation,Cromex Construction Corporation,"845 W. Fulton Market, suite 201",Chicago,IL,60607,2,41.886705,-87.64891
1486808,M.G. Midwest Corporation,M.G. Midwest Corporation,4944 W. Belmont,Chicago,IL,60641,10,41.9453,-87.7474
1473749,Cook County Department of Highways,Cook County Illinois,69 West Washington Street,Chicago,IL,60602,1,41.8830561,-87.6296643
1608485,The New Pindos Restaurant,"The New Pindos Restaurant, LLC",4955 S. Pulaski,Chicago,IL,60632,6,41.8093,-87.7052
1416371,"Action Iron Metal, Inc","Action Iron and Metal, Inc.",3345 West 31st Street,Chicago,IL,60623,50,41.8361027,-87.7095389
1483872,City of Chicago Dept. of Revenue,City of Chicago,333 S. State St,Chicago,IL,60604,0,41.8777275,-87.6275571
1479484,Cook County Sheriff's Dept.,Cook County Sheriff's Dept.,50 W. Washington,Chicago,IL,60602,2,41.8829,-87.6321
1472488,Original Sally's Waffle Pancake Shop,"S&L Enterprises, LTD.",5454 North Harlem Avenue,Chicago,IL,60656,1,41.979881,-87.8075021
1472506,Miss Beauty,"My Miss Beauty, Inc",1841 W 87th St,Chicago,IL,60620,3,41.7353078,-87.6700385
1472528,Raj Darbar,Guru Nanak Enterprises LLC.,2660 N Halsted,Chicago,IL,60614,7,41.9229,-87.6483
1465613,Celtic Crown,Ala Carte Entertainment,4301 North Western,Chicago,IL,60618,2,41.9464,-87.7042
1447962,Elite Security Service,Elite Security Service Inc.,1109 W. Taylor,Chicago,IL,60607,23,41.8721,-87.6578
1447965,"SCR Medical Transportation, Inc.","SCR Medical Transportation, Inc.",8801 S. Greenwood,Chicago,IL,60619,250,41.7458,-87.6054
1429961,Lyko Woodworking & Construction,Lyko Woodworking & Construction,4157 N. Elston Avenue,Chicago,IL,60618,6,41.9564882,-87.7229606
1449009,Japonais,Geisha LLC,600 W Chicago Ave,Chicago,IL,60610,102,41.897217,-87.6433446
1480241,Renaissance at Midway,"Renaissance at Midway, Inc.",4437 S. Cicero,Chicago,IL,60632,35,41.8093,-87.7052
1469050,Angelo's Pizza,Amanda Enterprises INC.,3026 W Montrose,Chicago,IL,60618,9,41.9464,-87.7042
1489009,Fontanini,Capitol  Wholesale Meats Company,911 West 37th Place,Chicago,IL,60609,0,41.8264713,-87.6494674
1416314,Local 880 AFLCIO-CLCService Employees Int'l U,Service Employees Int'l Union Local 880,209 W. Jackson,Chicago,IL,60606,56,41.8868,-87.6386
1453770,Capital Engineering and Manufacturing Co.,Capital Engineering and Manufacturing Co.,5837 S. Ashland,Chicago,IL,60636,100,41.776,-87.6674
1469552,City of Chicago Masonry,"City of Chicago Masonry, Inc.",4701 W. Iowa St,Chicago,IL,60651,30,41.8966813,-87.7441524
1454671,Julian Masonry Corp.,Julian Masonry Corp.,7045 W. Addison,Chicago,IL,60634,29,41.9463,-87.8061
1548314,Dunkin Donuts,"Gold, Inc.",3910 S. Archer,Chicago,IL,60632,2,41.8093,-87.7052
1472527,Family Dentist,"Family Dental Group, Inc.",3855 W. North Avenue,Chicago,IL,60647,36,41.9102576,-87.6945497
1472529,Artists Restaurant,Artist Snackshop,412 S. Michigan Ave.,Chicago,IL,60605,8,41.8764196,-87.6248618
1427841,Dunkin' Donuts-Fullerton,"Purodar, Inc.",5650 W. Fullerton,Chicago,IL,60639,11,41.9202,-87.7535
1427843,Dunkin' Donuts-Addison,"Kate & Maj, Inc",6001 W. Addison,Chicago,IL,60639,12,41.9202,-87.7535
1427848,Dunkin' Donuts-Irving Park,"Purohit Brothers, Inc.",7171 W. Irving Park Road,Chicago,IL,60634,20,41.9523821,-87.8062932
1690856,"HW Partners, LLC","HW Partners, LLC",5568 N. Lynch Ave,Chicago,IL,60630,0,41.9813031,-87.7610498
1699167,We Wash,"We Wash Car Wash, Inc.",2042 S. Halsted Street,Chicago,IL,60608,12,41.8540674,-87.6467991
1701754,Shell (4401 N. Cicero),"Ettumanoorappan, Inc.",4401 N. Cicero,Chicago,IL,60630,8,41.9699,-87.7603
1269086,Costa's Greek Dining & Bar,"D&G Downtown, Inc.",340 N. Halsted Street,Chicago,IL,60661,16,41.887058,-87.6476348
1755862,"Roadsafe Traffic Systems, Inc.","Roadsafe Traffic Systems, Inc.",8750 W Bryn Mawr,Chicago,IL,60631,0,41.9951,-87.8082
1435868,HMBI,"Harrington, Moran, Barksdale, Inc.","8600 W. Bryn Mawr Drive, Suite 600",Chicago,IL,60631,52,41.9951,-87.8082
1440891,Payday Loan Store,"PLS Financial Services, Inc.",300 N. Elizabeth Street,Chicago,IL,60607,17,41.8859248,-87.6590342
1486475,Gast Monuments,"Gast Monuments, Inc.",1900 w Peterson,Chicago,IL,60660,3,41.990799,-87.67724
1486890,"Compass Environmental, Inc.","Compass Environmental, Inc.","954 W. Washington Blvd., 5th Floor",Chicago,IL,60607,0,41.883001,-87.651235
1486972,Tower Automotive,"Tower Automotive, Inc.",12350 S. Avenue O,Chicago,IL,60617,0,41.6707812,-87.5397056
1486973,"AGAE Contracting, Inc.","AGAE Contracting, Inc.",6351 W Montrose #263,Chicago,IL,60634,0,41.9463,-87.8061
1495637,"Tri-Express, Inc.",Tri Express,517 Express Center Dr,Chicago,IL,60666,1,41.9628025,-87.8812587
1488995,"Bladek & Associates, Inc","Bladek and Associates, Inc.",6210 N. Kildare,Chicago,IL,60646,3,41.993,-87.7596
1489090,GSSC,"General Secuity Service Corporation, Inc.",230 S. Dearborn St. 3rd Floor,Chicago,IL,60604,170,41.879086,-87.629418
1573047,"City of Chicago, Office of Emergency Mgt",City of Chicago Office of Emergency Mgt,1411 W. Madison,Chicago,IL,60607,0,41.8721,-87.6578
1690196,Maravilla's Mexican Restaurant,"Maravillas, Inc.",5506 S Lake Park,Chicago,IL,60637,5,41.7813,-87.6051
1715487,Julie & Hugh Sullivan,Julie & Hugh Sullivan,11 E. Walton St.,Chicago,IL,60611,1,41.8997425,-87.6274764
1531723,Cook County Department of Corrections,Cook County Department of Corrections,2650 S California,Chicago,IL,60624,0,41.8804,-87.7223
1486492,"Inner Voice, Inc.","The Inner Voice, Inc.",1621 W. Walnut,Chicago,IL,60609,0,41.8097,-87.6533
1489030,University of Chicago Medical Center,University of Chicago Hospitals,5841 South Maryland Avenue,Chicago,IL,60637,1,41.7890046,-87.6024652
1716509,Andy's Deli,Andy's deli corporation,5442 N. Milwaukee Ave,Chicago,IL,60630,1,41.9803204,-87.7724549
1607947,St. Rose Center,Saint Rose Center,4911 S. Hoyne Avenue,Chicago,IL,60609,42,41.8043302,-87.6766577
1498271,Gate Gourmet Incorporated,Gate Gourmet Incorporated,"Bldg 741, Ohare International Airport",Chicago,IL,60666,0,41.968,-87.8912
1719879,Brite New Mind Daycare Center,"Brite New Mind Daycare Center, Inc.",118 East 51st Street,Chicago,IL,60615,1,41.8021994,-87.6215109
1744205,Ambassador Nursing & Rehabilitation Center II,Ambassador Nursing & Rehabilitation Center II,4900 N. Bernard,Chicago,IL,60625,15,41.9703,-87.7042
1722693,Xing Ying Employment Agency,Xing Ying Employment Agency,2228 S. Archer Ave,Chicago,IL,60616,0,41.8524356,-87.6361885
1422711,The Digital Center,"Digital Printing Center, Inc",832 W. Erie St.,Chicago,IL,60622,2,41.8932808,-87.6483249
1563089,SCRUB,"Scrub, Inc.",6033 N. Milwaukee Avenue,Chicago,IL,60646,1001,41.991045,-87.781461
1676870,Chicago Transit  Authority,Chicago Transit Authority,74th St.,Chicago,IL,60661,0,41.7598305,-87.6391358
1750624,"Silk Screen Express, Inc.",Silk Screen Express Inc.,3616 S Halsted St,Chicago,IL,60609,1,41.8281579,-87.6462773
1760517,Tower Automotive,Tower International,12350 South Avenue O,Chicago,IL,60633,0,41.6707812,-87.5397056
1522586,Bh Masonry,"BH Masonry, Inc.",5447 N. Panama,Chicago,IL,60656,5,41.9735,-87.8658
1594904,Disp. Pack Corporation,Disp Pack Corporation,6550 S. Lavergne,Chicago,IL,60638,0,41.7735688,-87.7476173
1637329,Garrison Design Build LLC,Garrison Design Build LLC,1235 S Prairie Avenue,Chicago,IL,60605,2,41.8661214,-87.6213627
1586234,Angel Wings Day Care,Angel Wings Day Care Center Inc,5365 W. North Ave.,Chicago,IL,60639,7,41.9092183,-87.7606682
1646183,Synergy Construction Group,"Synergy Construction Group, LLC",2037 Carrol St,Chicago,IL,60612,31,41.8805,-87.6873
1612754,Auto Glass Masters,"Auto Glass Masters,Inc",4520 N. Elston,Chicago,IL,60630,11,41.9699,-87.7603
1416313,S & M Auto Sales,"S & M Auto Sales, Inc.",5729 S. Western Ave.,Chicago,IL,60636,2,41.7892477,-87.683271
1679575,"A & H Mechanical, Inc.","A & H Mechanical, Inc.",1215 E. 79th St,Chicago,IL,60619,3,41.7511785,-87.5946128
1433135,Central Baking Supplies Inc,"Central Baking Supplies, Inc",1500 South Western Avenue,Chicago,IL,60608,8,41.8605883,-87.6869983
1499822,Subway,Rockets Refugees Inc. dba Subway,1110 N State St,Chicago,IL,60610,13,41.9022222,-87.628503
1591653,Gaudi Cafe,Gaudi Coffee & Grill,624 N Ashland Ave,Chicago,IL,60622,0,41.8932174,-87.6675307
1686125,The Portage,"The Portage Bar and Grill, LLC",3938 N Central Avenue,Chicago,IL,60634,2,41.9524879,-87.7672277
1533802,Hospitality & Catering Management Services,"Hospitality & Catering Management Services, I","980 North Michigan Ave., Suite 1080",Chicago,IL,60611,6,41.892134,-87.624096
1523139,Salonica,"JGF, Inc.",1440 E 57th Street,Chicago,IL,60637,9,41.7916126,-87.5901224
1676872,Chicago Transit Authority,Chicago Transit Authority,1617 E 103rd St,Chicago,IL,60617,1,41.7076876,-87.5855044
1730704,Dominos Pizza (Division & LaSalle),"NFG Chicago, LLC",143 W. Division St.,Chicago,IL,60610,0,41.9037878,-87.6334231
