,case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt,flsa_repeat_violator,flsa_bw_atp_amt,flsa_ee_atp_cnt,flsa_mw_bw_atp_amt,flsa_ot_bw_atp_amt,flsa_15a3_bw_atp_amt,flsa_cmp_assd_amt,sca_violtn_cnt,sca_bw_atp_amt,sca_ee_atp_cnt,mspa_violtn_cnt,mspa_bw_atp_amt,mspa_ee_atp_cnt,mspa_cmp_assd_amt,h1b_violtn_cnt,h1b_bw_atp_amt,h1b_ee_atp_cnt,h1b_cmp_assd_amt,fmla_violtn_cnt,fmla_bw_atp_amt,fmla_ee_atp_cnt,fmla_cmp_assd_amt,flsa_cl_violtn_cnt,flsa_cl_minor_cnt,flsa_cl_cmp_assd_amt,dbra_cl_violtn_cnt,dbra_bw_atp_amt,dbra_ee_atp_cnt,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,flsa_smw14_violtn_cnt,flsa_smw14_bw_amt,flsa_smw14_ee_atp_cnt,cwhssa_violtn_cnt,cwhssa_bw_amt,cwhssa_ee_cnt,osha_violtn_cnt,osha_bw_atp_amt,osha_ee_atp_cnt,osha_cmp_assd_amt,eppa_violtn_cnt,eppa_bw_atp_amt,eppa_ee_cnt,eppa_cmp_assd_amt,h1a_violtn_cnt,h1a_bw_atp_amt,h1a_ee_atp_cnt,h1a_cmp_assd_amt,crew_violtn_cnt,crew_bw_atp_amt,crew_ee_atp_cnt,crew_cmp_assd_amt,ccpa_violtn_cnt,ccpa_bw_atp_amt,ccpa_ee_atp_cnt,flsa_smwpw_violtn_cnt,flsa_smwpw_bw_atp_amt,flsa_smwpw_ee_atp_cnt,flsa_hmwkr_violtn_cnt,flsa_hmwkr_bw_atp_amt,flsa_hmwkr_ee_atp_cnt,flsa_hmwkr_cmp_assd_amt,ca_violtn_cnt,ca_bw_atp_amt,ca_ee_atp_cnt,pca_violtn_cnt,pca_bw_atp_amt,pca_ee_atp_cnt,flsa_smwap_violtn_cnt,flsa_smwap_bw_atp_amt,flsa_smwap_ee_atp_cnt,flsa_smwft_violtn_cnt,flsa_smwft_bw_atp_amt,flsa_smwft_ee_atp_cnt,flsa_smwl_violtn_cnt,flsa_smwl_bw_atp_amt,flsa_smwl_ee_atp_cnt,flsa_smwmg_violtn_cnt,flsa_smwmg_bw_atp_amt,flsa_smwmg_ee_atp_cnt,flsa_smwsl_violtn_cnt,flsa_smwsl_bw_atp_amt,flsa_smwsl_ee_atp_cnt,eev_violtn_cnt,h2b_violtn_cnt,h2b_bw_atp_amt,h2b_ee_atp_cnt,sraw_violtn_cnt,sraw_bw_atp_amt,sraw_ee_atp_cnt,ld_dt
37,1803789,Sweet World Pastry,"Sweet World Pasty, Inc",5450 N. Milwaukee Ave,Chicago,IL,60630,311812,Commercial Bakeries,1,0,0,0,0,10/20/14,10/19/16,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-14 01:00:03.836000 AMERICA/NEW_YORK
406,1372925,The Art Institute of Chicago,The Art Institute of Chicago,116 South Michigan Avenue.,Chicago,IL,60603,712110,Museums,0,0,1,0,0,11/24/03,10/21/04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
502,1628439,Valet Parking Service VPS,"VPS of Illinois, LLC",2370 N. Elston Avenue,Chicago,IL,60614,812930,Parking Lots and Garages,2,0,1,1741.63,1,5/30/10,9/20/10,2,,1741.63,1,1741.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
817,1687033,Los Comales #3,"MGL ENTERPRISES, INC.",1544 W 18th St,Chicago,IL,60608,722110,Full-Service Restaurants,5,0,3,5562.97,3,2/14/11,2/10/13,5,,5562.97,3,4.5,5558.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-04-01 01:00:03.975000 AMERICA/NEW_YORK
1489,1501535,"City of Chicago, Dept. of Housing","City of Chicago, Dept. of Housing","33 N. LaSalle, 11th floor",Chicago,IL,60602,9890,Other Local Governmental Facilities,1,0,1,0,0,10/3/07,10/29/07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
1754,1503210,Staff Manangement,Seaton Corp.,860 W. Evergreen,Chicago,IL,60622,56131,Employment Placement Agencies and Executive Search Services,0,0,0,0,0,9/1/06,12/31/07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
1791,1503211,Elite Staffing,"Elite Labor Services, LTD.",1400 W. Hubbard,Chicago,IL,60622,56131,Employment Placement Agencies and Executive Search Services,0,0,0,0,0,1/1/06,12/31/07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
1811,1503284,Fillip Metal Cabinet Co. Inc.,Fillip Metal Cabinet Co. Inc.,701 N Albany Ave,Chicago,IL,60612,3329,Other Fabricated Metal Product Manufacturing,1,0,1,0,0,3/11/06,3/10/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
1845,1503659,Danny's Food Mart,"Danny's Food Mart, Inc.",5458 South Wells,Chicago,IL,60649,447110,Gasoline Stations with Convenience Stores,1,0,0,0,0,2/2/07,1/29/08,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
2272,235834,"Alden Management Services,Inc.","Alden Management Services, Inc.",4200 W. Peterson,Chicago,IL,60646,9670,Local Nursing Homes,119,40000,119,1041759.03,119,1/9/92,11/18/96,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1041759.03,119,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
2560,1328786,Pioneer Coach Lines,"Pioneer Coach Lines, Inc.","6321 N Avondale, Suite 216",Chicago,IL,60631,485113,Bus and Other Motor Vehicle Transit Systems,14,0,13,13974.5,13,1/20/03,9/10/09,14,,13974.5,13,0,13974.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
2567,1332388,JF Labs,"JF Labs, Inc.",7401 S. Pulaski,Chicago,IL,60652,33999,All Other Miscellaneous Manufacturing,198,0,172,31143.17,172,5/4/02,2/2/07,198,,31143.17,172,758.3,30384.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
2596,1490853,"Marstech Solutions, Inc.","Marstech Solutions, Inc.","850 W. Jackson Blvd., Suite 650",Chicago,IL,60607,541618,Other Management Consulting Services,6,0,6,23070.89,6,9/24/05,9/22/07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23070.89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
2835,1516657,"Brownstone Construction, LLC","Brownstone Construction, LLC","2500 W. Roosevelt Rd., Suite 300",Chicago,IL,60608,23611,Residential Building Construction,3,0,2,4094.02,2,10/1/07,1/15/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3992.52,2,0,0,0,0,0,0,0,1,101.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
3444,1377877,City of Chicago Mayor's Office of Workplace,City of Chicago Mayor's Office of Workplace,121 N. LaSalle,Chicago,IL,60601,9890,Other Local Governmental Facilities,0,0,1,0,0,3/2/04,3/25/04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
3572,1518966,Midwest & Chicago Construction Corporation,Midwest & Chicago Construction Corporation,3545 N. Natoma,Chicago,IL,60634,23611,Residential Building Construction,0,0,0,0,0,7/22/06,7/21/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
3578,1436681,Houston & Associates,"Houston & Associates Protective Services, Inc",8211 S. Exchange,Chicago,IL,60617,561612,Security Guards and Patrol Services,64,0,64,37197.19,64,1/23/05,4/6/07,64,,37197.19,64,0,37197.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
3699,1519468,Allpoints Security & Detective Agency,"Allpoints Security and Detective, Inc.",2112 E.71st Street,Chicago,IL,60649,561612,Security Guards and Patrol Services,1,0,1,0,0,3/15/08,8/20/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
3706,1375410,Prime Acceptance Corporation,"Prime Acceptance Corporation, Inc.","200 West Jackson Blvd, Suite 710",Chicago,IL,60606,56144,Collection Agencies,2,0,1,0,0,8/2/04,12/21/04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
4164,1480236,Pizza Ria Financial,"Pizza Ria Financial, LLC",510 N Hartland Ct,Chicago,IL,60622,722211,Limited-Service Restaurants,41,0,39,32513.76,39,8/1/05,8/1/07,41,,32513.76,39,618.41,31895.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
4341,1509145,John H. Stroger Jr. Hospital of Cook County,"John H. Stroger, Jr. Hospital of Cook County",749 South Winchester,Chicago,IL,60612,622110,General Medical and Surgical Hospitals,1,0,1,0,0,7/10/07,4/30/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
4422,1531321,Byron's Hot Dogs,"Byronskitchen, Inc.",1017 W. Irving Park Rd,Chicago,IL,60613,72221,Limited-Service Eating Places,10,0,9,2038.82,9,1/1/07,12/31/07,10,,2038.82,9,0,2038.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
4687,1515248,Hispanic Regional Clinic,"Hispanic Regional Clinics, S.C.",5544 W. Belmont,Chicago,IL,60641,62151,Medical and Diagnostic Laboratories,22,0,21,20387.55,21,6/21/06,5/28/08,22,,20387.55,21,0,20387.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
4947,1508803,Accenture LLP,Accenture LLP,161 N. Clark St.,Chicago,IL,60601,541618,Other Management Consulting Services,0,0,0,0,0,2/8/06,2/7/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
5598,1759821,Currency Exchange,69th St. Currency Exchange Inc,6858 S Ashland,Chicago,IL,60636,561499,All Other Business Support Services,0,0,0,0,0,5/12/13,5/9/15,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-19 01:00:04.033000 AMERICA/NEW_YORK
5733,1523560,Provident Hospital of Cook County,Provident Hospital of Cook County,500 E. 51st St.,Chicago,IL,60615,9660,Local Hospitals,1,0,1,0,0,6/1/08,10/17/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
5781,1511181,D'Amato's,D'Amato's Bakery #1,1125 W Grand,Chicago,IL,60622,31181,Bread and Bakery Product Manufacturing,23,0,22,96446.57,22,5/1/06,4/30/08,23,,96446.57,22,0,96446.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
5932,1750994,"GSHA Services, LTD",GSHA Services LTD,6240 W. Grace,Chicago,IL,60634,238990,All Other Specialty Trade Contractors,0,0,0,0,0,2/26/13,2/25/15,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-08 01:00:06.172000 AMERICA/NEW_YORK
6110,1456809,"Grand Amoco Car Wash, Inc","Grand Amoco Car Wash, Inc",4400 W North Ave,Chicago,IL,60639,447110,Gasoline Stations with Convenience Stores,6,0,5,13021.12,5,11/6/04,11/6/06,6,,13021.12,5,0,13021.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
6254,1518560,"Maxi Maintenex, Inc.","Maxi Maintenex, Inc.",5740 N. Elston Ave,Chicago,IL,60646,561210,Facilities Support Services,11,0,7,11207,7,7/12/06,7/11/08,11,,11207,7,2625.56,8581.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
6361,1513417,"Telecom General Contractors, Inc","Telecom General Contractors, Inc.",300 W Adams,Chicago,IL,60606,541330,Engineering Services,20,0,20,15636.89,20,5/4/06,5/3/08,20,,15636.89,20,0,15636.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
6362,1513418,Alliance Air,"International Cargo Marketing, Inc.",O'Hare Airport,Chicago,IL,60666,488190,Other Support Activities for Air Transportation,92,0,92,15292.54,92,5/12/06,5/11/08,92,,15292.54,92,0,15292.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
6702,1557215,"Rainbow Beach QOA, LLC","Rainbow Beach Care QOC, LLC",7325 S. Exchange Ave.,Chicago,IL,60649,6232,"Residential Mental Retardation, Mental Health and Substance Abuse Facilities",110,0,110,46752.88,110,9/14/07,9/13/09,110,,46752.88,110,42699.32,4053.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
6894,1738298,"Care Communications, Inc.","Care Communications, Inc.","205 W. Wacker Drive, Ste. 1900",Chicago,IL,60606,621999,All Other Miscellaneous Ambulatory Health Care Services,93,0,93,208998.3,93,9/27/12,9/25/14,93,,208998.3,93,0,208998.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-19 01:00:04.033000 AMERICA/NEW_YORK
7835,1607125,Blue Angel,"Blue Angel, Inc",5310 N. Milwaukee,Chicago,IL,60630,722110,Full-Service Restaurants,18,0,11,31255.81,11,6/6/10,4/10/11,18,R,31255.81,11,9592.08,21663.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
7860,1541662,Notlem Group Inc,"Notlem Group, Inc.",646 E 43rd St,Chicago,IL,60653,2361,Residential Building Construction,0,0,0,0,0,4/8/07,4/5/09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
8146,1745400,CVR Associates,CVR Housing Services Corporation,"60 E Van Buren St, 8th Floor",Chicago,IL,60605,925110,Administration of Housing Programs,78,0,77,184803.81,73,12/19/12,12/12/14,78,,184803.81,73,0,184803.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-06-11 02:22:25.040000 AMERICA/NEW_YORK
8149,1688648,Riviera Nayarit,"Azteca Tacos Restaurant, Inc.",1514 W. 18th St,Chicago,IL,60608,722211,Limited-Service Restaurants,0,0,0,0,0,4/2/11,3/30/13,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
8173,1644353,Rio's D'Sudamerica,"Rio's De Sudamerica, Inc",2010-12 W. Armitage Ave.,Chicago,IL,60647,722110,Full-Service Restaurants,11,0,10,29660.84,10,3/20/10,3/17/12,11,,29660.84,10,8077.84,21583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-19 01:00:04.033000 AMERICA/NEW_YORK
