,case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt
250202,1775706,Guaranteed Rate,Guaranteed Rate INC,3940 North Ravenswood,Chicago,IL,60613,1106,0,1105,184423.29,1105,2013-11-13,2015-11-12,1106
250248,1796139,Moore Security,"Moore Security, Inc.",11828 S. Western Ave,Chicago,IL,60643,23,0,19,10047.76,19,2015-03-28,2017-03-25,23
250346,1809591,U.S. Post Office,United States Postal Service,9308 S. Chicago Ave.,Chicago,IL,60617,1,0,1,1544.75,1,2016-08-15,2017-01-01,0
250565,1779394,Giordano's ( Western Ave),"Beverly Pizza, Inc.",9613 S Western Ave,Chicago,IL,60643,33,0,25,18792,25,2013-12-27,2015-12-26,33
250914,1781782,Rush University Medical Center,Rush University Medical Center,1653 W Congress Pwy,Chicago,IL,60612,23,0,22,6954.54,22,2014-02-17,2016-02-14,23
251005,1809979,"Jones Lang LaSalle Services, Inc.","Jones Lang LaSalle Services, Inc.",200 East Randolph Drive,Chicago,IL,60601,0,0,0,0,0,2014-11-29,2016-11-30,0
251331,1806094,El Nuevo Taconazo (Cermak),"El Nuevo Taconazo, Inc.",2350 W. Cermak Road,Chicago,IL,60608,7,0,7,9424,7,2016-02-13,2016-10-22,7
251448,1815943,Maxwell Batiste Construction,Unknown,1819 S. Michigan Ave,Chicago,IL,60616,0,0,0,0,0,2015-04-22,2017-04-21,0
251542,1717750,Giordano's (Belmont),"VPC Belmont Pizza, LLC",1040 W. Belmont,Chicago,IL,60657,36,0,27,48744.77,27,2012-03-04,2015-05-30,36
251596,1784831,Papa Ray's Pizza & Wings,"Papa Rays 2, Inc.",3208 N. Pulaski,Chicago,IL,60641,35,0,27,18088.72,27,2014-10-04,2016-10-01,35
251711,1810740,Aperion Care Intl.,International Nursing & Rehab,4815 S. Western Blvd,Chicago,IL,60609,2,0,1,9840,1,2016-12-22,2017-02-28,0
251793,1816102,Arturo's Tacos,"2001 N. Western, Inc.",2001 Western Ave,Chicago,IL,60647,0,0,0,0,0,2015-03-09,2017-03-05,0
251817,1818695,Jay Medicar Transportation,"Jay Medicar Transportation, LLC",4939 W. Lake St,Chicago,IL,60644,41,0,41,42944.5,41,2012-01-01,2013-12-21,0
251841,1818795,New City Alfa Romeo and Fiat of Chicago,"New City Historic Auto Row, LLC",2401 S Michigan Ave,Chicago,IL,60616,2,0,1,246.5,1,2017-01-01,2017-03-31,2
252236,1738453,TAS Construction,"TAS Construction of Chicago, Inc.",6324 W. Melrose Street,Chicago,IL,60634,7,0,6,9849.4,6,2013-04-01,2014-12-31,7
