,case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt
37,1803789,Sweet World Pastry,"Sweet World Pasty, Inc",5450 N. Milwaukee Ave,Chicago,IL,60630,1,0,0,0,0,2014-10-20,2016-10-19,1
406,1372925,The Art Institute of Chicago,The Art Institute of Chicago,116 South Michigan Avenue.,Chicago,IL,60603,0,0,1,0,0,2003-11-24,2004-10-21,0
502,1628439,Valet Parking Service VPS,"VPS of Illinois, LLC",2370 N. Elston Avenue,Chicago,IL,60614,2,0,1,1741.63,1,2010-05-30,2010-09-20,2
817,1687033,Los Comales #3,"MGL ENTERPRISES, INC.",1544 W 18th St,Chicago,IL,60608,5,0,3,5562.97,3,2011-02-14,2013-02-10,5
1489,1501535,"City of Chicago, Dept. of Housing","City of Chicago, Dept. of Housing","33 N. LaSalle, 11th floor",Chicago,IL,60602,1,0,1,0,0,2007-10-03,2007-10-29,0
1754,1503210,Staff Manangement,Seaton Corp.,860 W. Evergreen,Chicago,IL,60622,0,0,0,0,0,2006-09-01,2007-12-31,0
1791,1503211,Elite Staffing,"Elite Labor Services, LTD.",1400 W. Hubbard,Chicago,IL,60622,0,0,0,0,0,2006-01-01,2007-12-31,0
1811,1503284,Fillip Metal Cabinet Co. Inc.,Fillip Metal Cabinet Co. Inc.,701 N Albany Ave,Chicago,IL,60612,1,0,1,0,0,2006-03-11,2008-03-10,0
1845,1503659,Danny's Food Mart,"Danny's Food Mart, Inc.",5458 South Wells,Chicago,IL,60649,1,0,0,0,0,2007-02-02,2008-01-29,1
2272,235834,"Alden Management Services,Inc.","Alden Management Services, Inc.",4200 W. Peterson,Chicago,IL,60646,119,40000,119,1041759.03,119,1992-01-09,1996-11-18,0
2560,1328786,Pioneer Coach Lines,"Pioneer Coach Lines, Inc.","6321 N Avondale, Suite 216",Chicago,IL,60631,14,0,13,13974.5,13,2003-01-20,2009-09-10,14
2567,1332388,JF Labs,"JF Labs, Inc.",7401 S. Pulaski,Chicago,IL,60652,198,0,172,31143.17,172,2002-05-04,2007-02-02,198
2596,1490853,"Marstech Solutions, Inc.","Marstech Solutions, Inc.","850 W. Jackson Blvd., Suite 650",Chicago,IL,60607,6,0,6,23070.89,6,2005-09-24,2007-09-22,0
2835,1516657,"Brownstone Construction, LLC","Brownstone Construction, LLC","2500 W. Roosevelt Rd., Suite 300",Chicago,IL,60608,3,0,2,4094.02,2,2007-10-01,2008-01-15,0
3444,1377877,City of Chicago Mayor's Office of Workplace,City of Chicago Mayor's Office of Workplace,121 N. LaSalle,Chicago,IL,60601,0,0,1,0,0,2004-03-02,2004-03-25,0
3572,1518966,Midwest & Chicago Construction Corporation,Midwest & Chicago Construction Corporation,3545 N. Natoma,Chicago,IL,60634,0,0,0,0,0,2006-07-22,2008-07-21,0
3578,1436681,Houston & Associates,"Houston & Associates Protective Services, Inc",8211 S. Exchange,Chicago,IL,60617,64,0,64,37197.19,64,2005-01-23,2007-04-06,64
3699,1519468,Allpoints Security & Detective Agency,"Allpoints Security and Detective, Inc.",2112 E.71st Street,Chicago,IL,60649,1,0,1,0,0,2008-03-15,2008-08-20,0
3706,1375410,Prime Acceptance Corporation,"Prime Acceptance Corporation, Inc.","200 West Jackson Blvd, Suite 710",Chicago,IL,60606,2,0,1,0,0,2004-08-02,2004-12-21,0
4164,1480236,Pizza Ria Financial,"Pizza Ria Financial, LLC",510 N Hartland Ct,Chicago,IL,60622,41,0,39,32513.76,39,2005-08-01,2007-08-01,41
4341,1509145,John H. Stroger Jr. Hospital of Cook County,"John H. Stroger, Jr. Hospital of Cook County",749 South Winchester,Chicago,IL,60612,1,0,1,0,0,2007-07-10,2008-04-30,0
4422,1531321,Byron's Hot Dogs,"Byronskitchen, Inc.",1017 W. Irving Park Rd,Chicago,IL,60613,10,0,9,2038.82,9,2007-01-01,2007-12-31,10
4687,1515248,Hispanic Regional Clinic,"Hispanic Regional Clinics, S.C.",5544 W. Belmont,Chicago,IL,60641,22,0,21,20387.55,21,2006-06-21,2008-05-28,22
4947,1508803,Accenture LLP,Accenture LLP,161 N. Clark St.,Chicago,IL,60601,0,0,0,0,0,2006-02-08,2008-02-07,0
5598,1759821,Currency Exchange,69th St. Currency Exchange Inc,6858 S Ashland,Chicago,IL,60636,0,0,0,0,0,2013-05-12,2015-05-09,0
5733,1523560,Provident Hospital of Cook County,Provident Hospital of Cook County,500 E. 51st St.,Chicago,IL,60615,1,0,1,0,0,2008-06-01,2008-10-17,0
5781,1511181,D'Amato's,D'Amato's Bakery #1,1125 W Grand,Chicago,IL,60622,23,0,22,96446.57,22,2006-05-01,2008-04-30,23
5932,1750994,"GSHA Services, LTD",GSHA Services LTD,6240 W. Grace,Chicago,IL,60634,0,0,0,0,0,2013-02-26,2015-02-25,0
6110,1456809,"Grand Amoco Car Wash, Inc","Grand Amoco Car Wash, Inc",4400 W North Ave,Chicago,IL,60639,6,0,5,13021.12,5,2004-11-06,2006-11-06,6
6254,1518560,"Maxi Maintenex, Inc.","Maxi Maintenex, Inc.",5740 N. Elston Ave,Chicago,IL,60646,11,0,7,11207,7,2006-07-12,2008-07-11,11
6361,1513417,"Telecom General Contractors, Inc","Telecom General Contractors, Inc.",300 W Adams,Chicago,IL,60606,20,0,20,15636.89,20,2006-05-04,2008-05-03,20
6362,1513418,Alliance Air,"International Cargo Marketing, Inc.",O'Hare Airport,Chicago,IL,60666,92,0,92,15292.54,92,2006-05-12,2008-05-11,92
6702,1557215,"Rainbow Beach QOA, LLC","Rainbow Beach Care QOC, LLC",7325 S. Exchange Ave.,Chicago,IL,60649,110,0,110,46752.88,110,2007-09-14,2009-09-13,110
6894,1738298,"Care Communications, Inc.","Care Communications, Inc.","205 W. Wacker Drive, Ste. 1900",Chicago,IL,60606,93,0,93,208998.3,93,2012-09-27,2014-09-25,93
7835,1607125,Blue Angel,"Blue Angel, Inc",5310 N. Milwaukee,Chicago,IL,60630,18,0,11,31255.81,11,2010-06-06,2011-04-10,18
7860,1541662,Notlem Group Inc,"Notlem Group, Inc.",646 E 43rd St,Chicago,IL,60653,0,0,0,0,0,2007-04-08,2009-04-05,0
8146,1745400,CVR Associates,CVR Housing Services Corporation,"60 E Van Buren St, 8th Floor",Chicago,IL,60605,78,0,77,184803.81,73,2012-12-19,2014-12-12,78
8149,1688648,Riviera Nayarit,"Azteca Tacos Restaurant, Inc.",1514 W. 18th St,Chicago,IL,60608,0,0,0,0,0,2011-04-02,2013-03-30,0
8173,1644353,Rio's D'Sudamerica,"Rio's De Sudamerica, Inc",2010-12 W. Armitage Ave.,Chicago,IL,60647,11,0,10,29660.84,10,2010-03-20,2012-03-17,11
8180,1645903,Little Village Car Wash,Little Village Car Wash Inc.,2600 W. Cermak Road,Chicago,IL,60608,21,0,14,27417.52,14,2010-02-12,2012-02-11,21
8415,1586613,Lincoln Park Cleaners,Lincoln Park Cleaners,659 W. Armitage,Chicago,IL,60614,0,0,0,0,0,2008-06-01,2010-06-01,0
8741,1610147,Joe and Frank's Market,Joe and Frank's Sausage,7147 W. Archer Avenue,Chicago,IL,60638,75,4650,72,42277.12,69,2009-03-14,2011-03-12,69
8870,1733879,Eleven twelve Communications,"Eleven Twelve Communications, LLC",2600 West 35th Street,Chicago,IL,60632,0,0,0,0,0,2014-06-24,2014-07-22,0
8964,1407741,"Loss Prevention, Inc.","LOss Prevention, Inc.",3315 S. Halsted,Chicago,IL,60608,0,0,0,0,0,2005-03-31,2005-06-30,0
8966,1443239,Jewel Food Store,Albertson's,4250 N. Lincoln,Chicago,IL,60618,0,0,2,0,0,2005-03-01,2006-05-01,0
9436,1649839,Mufflers for Less Laramie,"Mufflers 4 Less III, Inc.",2604 N. Laramie,Chicago,IL,60639,7,0,7,62587.6,7,2009-03-23,2011-03-22,7
9479,1396590,LVL,"Larry Vassar Leasing, Inc",4917 N. Greenhurst,Chicago,IL,60640,9,0,5,11494.47,5,2003-04-03,2005-03-31,0
9488,1397840,DuBois Douglas Centers,The Dubois-Douglas Centres,8801 S. Stony Island,Chicago,IL,60617,41,0,41,25001.85,41,2005-01-01,2005-05-31,41
9501,1404489,KIMCO Corporation,,7300 West Montrose,Chicago,IL,60656,0,0,1,0,0,2001-01-01,2005-04-01,0
9741,1147898,"Comtek International, Inc.","Comtek International, Inc.","111 N. Canal,  Suite 941",Chicago,IL,60606,7,0,7,20956.03,7,2000-04-16,2001-05-01,0
9828,1653152,United Temps Inc.,"United Temps, Inc.","1550 South Indiana Ave., Suite 300",Chicago,IL,60605,1,0,0,0,0,2010-04-11,2012-04-07,1
10494,1717758,Rosati's Pizza,Salman Ukani,5544 N. Milwaukee Ave.,Chicago,IL,60630,3,0,1,704.93,1,2012-02-03,2014-02-02,3
10536,1771606,La Baguette- 3117 26th street,Alex Cafe Inc,3117 West 26th street,Chicago,IL,60623,2,0,0,0,0,2013-10-01,2015-09-10,2
10633,1352221,Metro/Smartbar,"Stages Music All, Inc.",3730 N. Clark,Chicago,IL,60630,41,0,40,13636.25,40,2002-11-04,2007-02-02,41
11062,1373101,Jordan Security Services,"Jordan Security Services, Inc",2600 S. Michigan Avenue,Chicago,IL,60616,6,0,6,18605.57,6,2003-09-30,2004-09-30,6
11090,1377889,Zacatacos,"Zacatacos, Inc.",5925 S. Pulaski,Chicago,IL,60629,46,0,45,58434.94,45,2002-10-25,2004-11-14,46
11115,328983,Medwest Home Health Care,"Medwest Home Health Care, Inc.",7115 West Grand,Chicago,IL,60635,0,0,0,0,0,1994-10-15,1996-12-15,0
11226,1382836,Neway Fashion Ltd.,Neway Fashion Limited,2607 S.Halsted Avenue,Chicago,IL,60616,16,0,10,2326.74,10,2003-01-26,2005-01-01,16
11275,1543120,Cosmo,Creative L Inc.,6301 S Ashland Ave,Chicago,IL,60636,2,187,1,183.12,1,2007-09-20,2009-09-19,2
11862,1563126,AT&T,AT & T,225 W. Randolph,Chicago,IL,60606,0,0,1,0,0,2009-10-12,2010-02-25,0
12063,1442770,Los Arcos Restaurant / Taqueria Uptown,"Taqueria La Villita, Inc.",5525 N. Clark,Chicago,IL,60640,14,0,13,15979.86,13,2005-07-01,2006-07-15,14
12084,1765157,Cook County,Cook County Sherrifs,2750 S. California,Chicago,IL,60608,2,0,1,0,0,2015-06-08,2015-10-22,0
12364,1443535,Timo a.k.a.: Thyme,"Danilo's Inc, LLC",464 N. Halsted,Chicago,IL,60622,11,0,10,667.27,10,2004-06-30,2006-07-01,11
12428,1666487,Jim's Original,JJ's Top Dog,16 east 95th Street,Chicago,IL,60619,0,0,0,0,0,2010-08-16,2012-06-18,0
13003,1429567,Bally's Total Fitness,Bally Total Fitness Corporation,8700 W. Bryn Mawr,Chicago,IL,60631,3245,0,3245,754556.37,3245,2003-12-01,2006-03-31,3245
13064,1445185,Dearborn Wholesale Grocers,Dearborn Wholesale Grocers,2801 South Western Avenue,Chicago,IL,60608,1,0,1,822.39,1,2006-02-20,2006-02-24,0
13065,1445186,Dearborn Wholesale Grocers,"Dearborn Wholesale Grocers, Inc.",2801 Western Avenue,Chicago,IL,60608,1,0,1,2756.25,1,2006-02-26,2006-03-20,0
13143,1430028,The Dental Clinic,"The Dental Clinic, LLC",430 W. Erie St.,Chicago,IL,60610,90,0,89,54106.09,89,2004-01-01,2005-12-31,90
13159,1691987,Office of The Chapter 13 Trustee,Office of the Chapter 13 Trustee,224 S. Michigan Avenue #800,Chicago,IL,60604,0,0,0,0,0,2011-06-18,2013-06-15,0
13413,1666327,Chicago Transit Authority,Chicago Transit Authority,642 N. Pulaski Rd,Chicago,IL,60624,0,0,1,0,0,2012-07-31,2013-01-31,0
13590,1434083,"S.A. Industries, Inc.","S.A. Industries, Inc.",Unknown,Chicago,IL,60604,14,0,14,4422.16,14,1986-08-22,2007-03-09,14
13781,1459087,Visteon Corp,Visteon Corporation,12429 S. Burley,Chicago,IL,60633,2,0,1,0,0,2006-01-02,2007-04-19,0
14015,1453765,Gold Coast Dogs,,3525 W. Peterson,Chicago,IL,60659,0,0,1,0,0,2004-09-27,2006-08-24,0
14105,1450667,Rose Packing Company,Rose Packing Company,4900 S. Major,Chicago,IL,60638,0,0,1,0,0,2006-05-18,2006-10-20,0
14380,1693823,Hyatt,Hyatt Corporation,71 S. Wacker Dr.,Chicago,IL,60606,1,0,0,0,0,2013-05-07,2013-06-21,0
14542,1334949,"Venter & Associates, Inc.","Venter & Associates, Inc.","4747 W. Peterson Avenue, #401",Chicago,IL,60646,3,0,2,5052,2,2002-04-06,2007-06-26,3
14723,1454667,Subway,Hemali Enterprises Inc.,4316 S. Ashland,Chicago,IL,60611,3,0,3,8607.37,3,2005-08-03,2006-09-26,3
15346,1324021,"River North, LLC D/B/A Sushi Sambo Rio","River North, LLC",504 North Wells,Chicago,IL,60610,48,0,38,8294.27,38,2003-06-22,2004-06-20,48
16287,1551889,Bull and Bear,Trifectra LLC.,431 N. Wells,Chicago,IL,60654,170,0,146,39443.66,146,2008-10-01,2009-07-19,170
16425,1464921,La Internacional,"International Supermarket, Inc.",4556 S. Ashland,Chicago,IL,60609,15,2156,14,50876.11,14,2005-01-01,2006-12-31,15
16496,1609654,La Farine Bakery,"Lafarine Bakery, Inc.",1461 w Chicago ave,Chicago,IL,60642,9,0,8,20648.14,8,2009-07-30,2011-07-18,9
16552,1462406,Custom Staffing,"Custom Staffing, Inc.",2451 North Pulaski,Chicago,IL,60639,0,0,0,0,0,2006-01-01,2006-11-15,0
16561,1462437,Metra,Northeast Illinois Railroad Corporation,547 W. Jackson Blvd.,Chicago,IL,60661,0,0,1,0,0,2006-11-01,2007-02-26,0
16677,1459933,Riva Navy Pier,Pier 1995 Limited Partnership,700 E. Grand Ave.,Chicago,IL,60611,10,0,9,436.2,9,2004-11-29,2006-11-29,10
16679,1459942,People's Energy Services,"People's Energy Services, Corp.",130 E. Randolph 21st Fl.,Chicago,IL,60601,0,0,1,0,0,2006-07-18,2006-07-20,0
17426,1696031,La Pasadita 2,"La Pasadita, Inc",1132 N Ashland,Chicago,IL,60622,3,0,1,2574,1,2011-05-07,2013-04-28,3
17568,1442775,Captain's Hard Times Dining,"Ben-Vic, Inc. dba Captain's Hard Times Dining",436 E 79th St,Chicago,IL,60619,5,0,4,641,4,2004-06-19,2006-06-19,5
17569,1442782,Women's Health Consultants S.C.,Women's Health Consultants,"1725 W. Harrison, Ste. 408E",Chicago,IL,60612,18,0,18,2128.7,18,2004-05-22,2006-06-02,18
18242,1486532,Cromex Construction Corporation,Cromex Construction Corporation,"845 W. Fulton Market, suite 201",Chicago,IL,60607,2,0,1,200,1,2005-07-01,2007-07-01,2
18367,1486808,M.G. Midwest Corporation,M.G. Midwest Corporation,4944 W. Belmont,Chicago,IL,60641,10,0,10,97000,10,2007-07-19,2007-08-23,0
18715,1473749,Cook County Department of Highways,Cook County Illinois,69 West Washington Street,Chicago,IL,60602,1,0,1,0,0,2005-12-28,2007-08-29,0
19192,1608485,The New Pindos Restaurant,"The New Pindos Restaurant, LLC",4955 S. Pulaski,Chicago,IL,60632,6,0,6,206.25,6,2009-03-20,2011-03-18,6
19320,1416371,"Action Iron Metal, Inc","Action Iron and Metal, Inc.",3345 West 31st Street,Chicago,IL,60623,50,0,49,70817.81,49,2003-10-15,2005-10-17,50
19659,1483872,City of Chicago Dept. of Revenue,City of Chicago,333 S. State St,Chicago,IL,60604,0,0,1,0,0,2006-12-01,2007-08-11,0
19925,1479484,Cook County Sheriff's Dept.,Cook County Sheriff's Dept.,50 W. Washington,Chicago,IL,60602,2,0,2,0,0,2007-03-05,2007-06-29,0
20116,1472488,Original Sally's Waffle Pancake Shop,"S&L Enterprises, LTD.",5454 North Harlem Avenue,Chicago,IL,60656,1,0,0,0,0,2005-03-01,2007-03-01,1
20127,1472506,Miss Beauty,"My Miss Beauty, Inc",1841 W 87th St,Chicago,IL,60620,3,0,1,8912.38,1,2005-04-01,2007-03-31,3
20134,1472528,Raj Darbar,Guru Nanak Enterprises LLC.,2660 N Halsted,Chicago,IL,60614,7,0,6,27937.12,6,2005-04-04,2007-04-30,7
20573,1465613,Celtic Crown,Ala Carte Entertainment,4301 North Western,Chicago,IL,60618,2,0,1,2239.51,1,2006-08-15,2007-04-06,0
20741,1447962,Elite Security Service,Elite Security Service Inc.,1109 W. Taylor,Chicago,IL,60607,23,0,22,9990.32,22,2005-01-15,2006-08-12,23
20742,1447965,"SCR Medical Transportation, Inc.","SCR Medical Transportation, Inc.",8801 S. Greenwood,Chicago,IL,60619,250,0,230,71474.34,230,2005-12-04,2006-11-18,250
20756,1429961,Lyko Woodworking & Construction,Lyko Woodworking & Construction,4157 N. Elston Avenue,Chicago,IL,60618,6,0,5,5718.25,5,2004-04-16,2004-12-31,6
20877,1449009,Japonais,Geisha LLC,600 W Chicago Ave,Chicago,IL,60610,102,0,102,107413.07,102,2005-03-01,2007-02-28,102
20966,1480241,Renaissance at Midway,"Renaissance at Midway, Inc.",4437 S. Cicero,Chicago,IL,60632,35,0,35,3856.91,35,2005-06-04,2007-06-03,35
21078,1469050,Angelo's Pizza,Amanda Enterprises INC.,3026 W Montrose,Chicago,IL,60618,9,0,8,50047.5,8,2005-04-10,2007-04-01,9
21110,1489009,Fontanini,Capitol  Wholesale Meats Company,911 West 37th Place,Chicago,IL,60609,0,0,1,0,0,2006-12-11,2007-05-07,0
21157,1416314,Local 880 AFLCIO-CLCService Employees Int'l U,Service Employees Int'l Union Local 880,209 W. Jackson,Chicago,IL,60606,56,0,56,19146.24,55,2003-10-25,2005-10-24,56
21191,1453770,Capital Engineering and Manufacturing Co.,Capital Engineering and Manufacturing Co.,5837 S. Ashland,Chicago,IL,60636,100,0,68,38697.7,68,2006-08-06,2006-08-13,100
21206,1469552,City of Chicago Masonry,"City of Chicago Masonry, Inc.",4701 W. Iowa St,Chicago,IL,60651,30,0,29,3613.5,29,2006-01-01,2006-12-31,30
21331,1454671,Julian Masonry Corp.,Julian Masonry Corp.,7045 W. Addison,Chicago,IL,60634,29,0,28,0,0,2004-10-01,2006-09-30,29
21471,1548314,Dunkin Donuts,"Gold, Inc.",3910 S. Archer,Chicago,IL,60632,2,0,2,3834.58,2,2007-04-01,2009-04-17,2
21500,1472527,Family Dentist,"Family Dental Group, Inc.",3855 W. North Avenue,Chicago,IL,60647,36,0,36,21925.24,36,2005-05-20,2007-05-19,36
21501,1472529,Artists Restaurant,Artist Snackshop,412 S. Michigan Ave.,Chicago,IL,60605,8,0,7,15941.27,7,2005-05-07,2007-04-28,8
21732,1427841,Dunkin' Donuts-Fullerton,"Purodar, Inc.",5650 W. Fullerton,Chicago,IL,60639,11,2057,11,2388.78,11,2003-11-01,2005-10-31,11
21733,1427843,Dunkin' Donuts-Addison,"Kate & Maj, Inc",6001 W. Addison,Chicago,IL,60639,12,2244,12,3253.75,12,2003-11-01,2005-10-31,12
21734,1427848,Dunkin' Donuts-Irving Park,"Purohit Brothers, Inc.",7171 W. Irving Park Road,Chicago,IL,60634,20,3740,20,3906.95,20,2003-11-01,2005-10-31,20
21758,1690856,"HW Partners, LLC","HW Partners, LLC",5568 N. Lynch Ave,Chicago,IL,60630,0,0,0,0,0,2011-04-22,2013-04-19,0
21764,1699167,We Wash,"We Wash Car Wash, Inc.",2042 S. Halsted Street,Chicago,IL,60608,12,0,11,43984.51,11,2011-05-07,2013-05-03,12
21986,1701754,Shell (4401 N. Cicero),"Ettumanoorappan, Inc.",4401 N. Cicero,Chicago,IL,60630,8,0,6,7241.38,6,2011-08-07,2013-08-06,8
21990,1269086,Costa's Greek Dining & Bar,"D&G Downtown, Inc.",340 N. Halsted Street,Chicago,IL,60661,16,0,16,18787.53,16,2001-03-18,2008-02-21,16
22041,1755862,"Roadsafe Traffic Systems, Inc.","Roadsafe Traffic Systems, Inc.",8750 W Bryn Mawr,Chicago,IL,60631,0,0,0,0,0,2013-06-13,2015-06-12,0
22165,1435868,HMBI,"Harrington, Moran, Barksdale, Inc.","8600 W. Bryn Mawr Drive, Suite 600",Chicago,IL,60631,52,0,52,170002.19,52,2004-12-16,2006-06-16,0
22468,1440891,Payday Loan Store,"PLS Financial Services, Inc.",300 N. Elizabeth Street,Chicago,IL,60607,17,0,16,13776.71,16,2004-11-01,2006-11-01,17
23594,1486475,Gast Monuments,"Gast Monuments, Inc.",1900 w Peterson,Chicago,IL,60660,3,0,3,1319.38,3,2005-08-21,2007-08-20,3
23863,1486890,"Compass Environmental, Inc.","Compass Environmental, Inc.","954 W. Washington Blvd., 5th Floor",Chicago,IL,60607,0,0,0,0,0,2005-10-28,2007-10-27,0
23870,1486972,Tower Automotive,"Tower Automotive, Inc.",12350 S. Avenue O,Chicago,IL,60617,0,0,1,0,0,2007-01-01,2007-09-20,0
23871,1486973,"AGAE Contracting, Inc.","AGAE Contracting, Inc.",6351 W Montrose #263,Chicago,IL,60634,0,0,0,0,0,2006-09-07,2007-10-07,0
24513,1495634,"Perfect Cleaning Service, Inc",,5852 N. North-West Hwy,Chicago,IL,60631,0,0,0,0,0,2007-10-22,2008-01-09,0
24515,1495637,"Tri-Express, Inc.",Tri Express,517 Express Center Dr,Chicago,IL,60666,1,0,1,0,0,2007-01-29,2007-11-28,0
24891,1488995,"Bladek & Associates, Inc","Bladek and Associates, Inc.",6210 N. Kildare,Chicago,IL,60646,3,0,3,26309.75,3,2005-10-01,2007-10-01,3
25018,1489090,GSSC,"General Secuity Service Corporation, Inc.",230 S. Dearborn St. 3rd Floor,Chicago,IL,60604,170,0,88,111082.52,88,2006-10-01,2007-09-28,0
25181,1573047,"City of Chicago, Office of Emergency Mgt",City of Chicago Office of Emergency Mgt,1411 W. Madison,Chicago,IL,60607,0,0,1,0,0,2009-01-01,2010-08-20,0
25261,1690196,Maravilla's Mexican Restaurant,"Maravillas, Inc.",5506 S Lake Park,Chicago,IL,60637,5,0,4,5928,4,2011-08-04,2013-08-01,5
25271,1715487,Julie & Hugh Sullivan,Julie & Hugh Sullivan,11 E. Walton St.,Chicago,IL,60611,1,0,1,0,0,2012-07-31,2013-03-01,1
25378,1531723,Cook County Department of Corrections,Cook County Department of Corrections,2650 S California,Chicago,IL,60624,0,0,1,0,0,2008-10-26,2008-11-26,0
25488,1486492,"Inner Voice, Inc.","The Inner Voice, Inc.",1621 W. Walnut,Chicago,IL,60609,0,0,1,0,0,2007-04-30,2007-05-01,0
25511,1489030,University of Chicago Medical Center,University of Chicago Hospitals,5841 South Maryland Avenue,Chicago,IL,60637,1,0,1,0,0,2005-11-01,2007-10-31,0
25568,1716509,Andy's Deli,Andy's deli corporation,5442 N. Milwaukee Ave,Chicago,IL,60630,1,0,1,0,0,2012-02-05,2014-02-01,1
25930,1607947,St. Rose Center,Saint Rose Center,4911 S. Hoyne Avenue,Chicago,IL,60609,42,0,42,1220.61,42,2009-03-07,2011-03-11,0
26134,1498271,Gate Gourmet Incorporated,Gate Gourmet Incorporated,"Bldg 741, Ohare International Airport",Chicago,IL,60666,0,0,0,0,0,2005-11-15,2007-11-01,0
26249,1719879,Brite New Mind Daycare Center,"Brite New Mind Daycare Center, Inc.",118 East 51st Street,Chicago,IL,60615,1,0,0,0,0,2012-03-07,2014-03-06,1
26324,1744205,Ambassador Nursing & Rehabilitation Center II,Ambassador Nursing & Rehabilitation Center II,4900 N. Bernard,Chicago,IL,60625,15,0,15,771.28,15,2012-11-05,2014-11-02,15
26447,1722693,Xing Ying Employment Agency,Xing Ying Employment Agency,2228 S. Archer Ave,Chicago,IL,60616,0,0,0,0,0,2012-03-21,2014-03-18,0
26817,1422711,The Digital Center,"Digital Printing Center, Inc",832 W. Erie St.,Chicago,IL,60622,2,0,1,1306.8,1,2003-12-05,2006-01-27,2
26873,1563089,SCRUB,"Scrub, Inc.",6033 N. Milwaukee Avenue,Chicago,IL,60646,1001,0,1,0,0,2009-10-15,2010-01-21,0
26997,1676870,Chicago Transit  Authority,Chicago Transit Authority,74th St.,Chicago,IL,60661,0,0,1,0,0,2012-10-30,2012-12-16,0
27098,1750624,"Silk Screen Express, Inc.",Silk Screen Express Inc.,3616 S Halsted St,Chicago,IL,60609,1,0,1,2245.56,1,2012-12-05,2014-12-03,1
27149,1760517,Tower Automotive,Tower International,12350 South Avenue O,Chicago,IL,60633,0,0,1,0,0,2015-01-07,2015-01-31,0
27217,1522586,Bh Masonry,"BH Masonry, Inc.",5447 N. Panama,Chicago,IL,60656,5,0,3,900,3,2006-08-30,2008-08-29,5
28211,1594904,Disp. Pack Corporation,Disp Pack Corporation,6550 S. Lavergne,Chicago,IL,60638,0,0,0,0,0,2008-11-07,2010-11-05,0
28641,1637329,Garrison Design Build LLC,Garrison Design Build LLC,1235 S Prairie Avenue,Chicago,IL,60605,2,0,1,141.38,1,2011-10-14,2011-10-17,2
28644,1586234,Angel Wings Day Care,Angel Wings Day Care Center Inc,5365 W. North Ave.,Chicago,IL,60639,7,0,7,4198.5,7,2008-07-28,2010-07-26,7
28660,1646183,Synergy Construction Group,"Synergy Construction Group, LLC",2037 Carrol St,Chicago,IL,60612,31,0,30,48840.63,30,2010-02-13,2012-02-12,31
29066,1612754,Auto Glass Masters,"Auto Glass Masters,Inc",4520 N. Elston,Chicago,IL,60630,11,0,10,17879,10,2009-04-24,2011-04-22,11
29090,1416313,S & M Auto Sales,"S & M Auto Sales, Inc.",5729 S. Western Ave.,Chicago,IL,60636,2,0,1,27.56,1,2005-04-08,2005-04-30,2
29102,1679575,"A & H Mechanical, Inc.","A & H Mechanical, Inc.",1215 E. 79th St,Chicago,IL,60619,3,0,3,11883.29,3,2011-02-26,2013-02-23,0
29216,1433135,Central Baking Supplies Inc,"Central Baking Supplies, Inc",1500 South Western Avenue,Chicago,IL,60608,8,0,7,21508.12,7,2004-02-13,2006-02-12,8
29311,1499822,Subway,Rockets Refugees Inc. dba Subway,1110 N State St,Chicago,IL,60610,13,0,9,10822.91,9,2006-02-22,2008-02-22,13
29446,1591653,Gaudi Cafe,Gaudi Coffee & Grill,624 N Ashland Ave,Chicago,IL,60622,0,0,0,0,0,2010-01-01,2010-08-15,0
29485,1686125,The Portage,"The Portage Bar and Grill, LLC",3938 N Central Avenue,Chicago,IL,60634,2,0,2,458.59,2,2011-02-20,2013-02-17,2
29835,1533802,Hospitality & Catering Management Services,"Hospitality & Catering Management Services, I","980 North Michigan Ave., Suite 1080",Chicago,IL,60611,6,0,5,2549.29,5,2008-08-01,2009-01-31,6
30344,1523139,Salonica,"JGF, Inc.",1440 E 57th Street,Chicago,IL,60637,9,0,8,34472.84,8,2006-09-09,2008-08-30,9
30456,1676872,Chicago Transit Authority,Chicago Transit Authority,1617 E 103rd St,Chicago,IL,60617,1,0,1,0,0,2012-10-25,2012-11-08,0
30474,1730704,Dominos Pizza (Division & LaSalle),"NFG Chicago, LLC",143 W. Division St.,Chicago,IL,60610,0,0,0,0,0,2013-06-07,2015-01-24,0
30482,1760433,Autotech Chicago,"Dikuje Group, Inc",5156 N Broadway,Chicago,IL,60640,2,0,1,933.12,1,2013-04-12,2015-04-10,2
30789,1620303,"Fish, Brydges & Associates LLC","Fish, Brydges & Associates, LLC",2821 N. Halsted,Chicago,IL,60657,0,0,0,0,0,2011-06-01,2011-06-29,0
30879,1445129,Cave Enterprises/BK-Taco Fresco,"Cave Enterprises, Inc.",1624 W 18th St,Chicago,IL,60608,9,0,8,8990.63,8,2004-09-16,2006-09-15,9
30901,1724114,"Specialized Staffing Solutions, Inc","Specialized Staffing Solutions, Inc",2700 S. Lawndale,Chicago,IL,60623,3,0,2,145,2,2012-03-29,2014-03-27,3
